FileNum,Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
11,text11.txt,1,21,99,68.29,98.01,99,21,19.05,76.19,42.86,0,0,0,0,0,0,0,0,19.05,19.05,4.76,0,0,0,4.76,19.05,9.52,0,4.76,0,9.52,9.52,0,0,0,0,9.52,0,0,0,0,4.76,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,14.29,4.76,4.76,4.76,0,0,0,9.52,0,28.57,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,9.52,4.76,4.76,0,0,0,0,0,0,0,0,0
12,text12.txt,1,16,99,50,74.76,25.77,16,25,75,50,0,0,0,0,0,0,0,0,6.25,25,6.25,6.25,6.25,0,6.25,6.25,6.25,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,6.25,0,0,0,6.25,0,25,0,18.75,6.25,6.25,0,0,6.25,0,0,0,0,0,0,0,0,12.5,6.25,6.25,0,0,0,0,0,0,0,0,0
13,text13.txt,1,22,20.93,91.35,61.34,1,22,18.18,81.82,59.09,18.18,13.64,0,13.64,0,0,0,4.55,4.55,13.64,9.09,13.64,4.55,4.55,9.09,4.55,0,4.55,0,0,4.55,0,4.55,0,0,0,13.64,0,0,0,0,9.09,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,22.73,13.64,0,9.09,0,0,9.09,0,0,13.64,9.09,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,13.64,4.55,9.09,0,0,0,0,0,0,0,0,0
14,text14.txt,1,10,99,50,3.37,25.77,10,40,70,30,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,10,0,0,10,20,0,0,10,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,10
15,text15.txt,1,16,71.61,10.58,95.6,99,16,25,81.25,50,0,0,0,0,0,0,0,0,6.25,12.5,12.5,6.25,12.5,0,18.75,12.5,6.25,0,0,12.5,6.25,6.25,0,0,0,0,0,0,0,0,0,31.25,6.25,0,0,18.75,0,12.5,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,12.5,0,6.25,6.25,0,0,0,6.25,0,0,0,0,0,0,0,0,18.75,6.25,0,0,0,0,0,0,0,0,12.5,0
16,text16.txt,1,32,99,26.6,74.76,1.42,10.67,21.88,71.88,37.5,3.12,0,0,0,0,0,0,3.12,3.12,21.88,0,0,3.12,6.25,0,3.12,0,0,9.38,9.38,3.12,0,3.12,0,0,3.12,6.25,0,0,0,0,6.25,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,6.25,0,3.12,6.25,0,0,0,0,0,18.75,0,9.38,9.38,6.25,0,0,3.12,0,0,0,0,0,0,0,0,40.62,21.88,9.38,0,0,0,0,3.12,0,0,6.25,0
17,text17.txt,1,21,78.35,82.96,1,1,10.5,38.1,71.43,28.57,9.52,4.76,0,0,0,4.76,0,4.76,9.52,0,4.76,0,4.76,0,14.29,0,0,0,0,4.76,4.76,0,4.76,0,0,0,9.52,0,0,0,4.76,9.52,0,4.76,0,0,4.76,0,4.76,0,4.76,0,0,0,0,0,0,14.29,0,0,14.29,0,0,14.29,0,0,0,0,0,0,9.52,0,0,9.52,0,0,0,0,0,0,0,0,38.1,9.52,0,0,0,0,0,9.52,9.52,9.52,0,0
18,text18.txt,1,23,70.3,90.38,9.25,99,11.5,8.7,60.87,39.13,8.7,8.7,0,0,0,4.35,4.35,0,4.35,8.7,4.35,4.35,8.7,0,13.04,0,0,0,0,0,8.7,8.7,0,0,0,0,13.04,0,4.35,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,8.7,0,17.39,4.35,8.7,4.35,4.35,0,0,8.7,0,0,0,0,0,0,0,0,30.43,17.39,8.7,0,0,0,0,4.35,0,0,0,0
19,text19.txt,1,22,99,67.52,61.34,25.77,22,18.18,68.18,40.91,0,0,0,0,0,0,0,0,13.64,18.18,4.55,4.55,4.55,0,9.09,0,0,4.55,4.55,4.55,0,0,0,0,0,0,4.55,0,0,0,0,4.55,4.55,0,0,0,0,0,0,0,0,0,4.55,0,0,0,4.55,9.09,0,0,9.09,0,0,9.09,0,0,18.18,0,13.64,4.55,4.55,0,0,4.55,0,0,0,0,0,0,0,0,13.64,4.55,9.09,0,0,0,0,0,0,0,0,0
20,text20.txt,1,9,74.89,86.68,98.01,25.77,9,0,55.56,11.11,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,22.22,0,0,0,0,0,0,0,11.11,0,0,0,0,11.11,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,33.33,0,11.11,22.22,0,0,0,0,0,0,0,0,0,0,0,0,22.22,11.11,11.11,0,0,0,0,0,0,0,0,0
21,text21.txt,1,20,24.86,84.14,93.3,25.77,20,20,80,40,5,5,0,0,5,0,0,0,0,10,10,10,15,0,15,10,10,10,5,10,0,0,0,0,0,0,15,0,0,5,5,15,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,5,5,0,0,5,5,0,20,0,5,15,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0
22,text22.txt,1,13,99,50,63.54,99,13,15.38,76.92,38.46,0,0,0,0,0,0,0,0,23.08,7.69,7.69,0,0,0,7.69,15.38,7.69,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,7.69,0,23.08,0,23.08,0,15.38,0,0,15.38,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0
23,text23.txt,1,14,99,92.33,89.63,99,14,21.43,85.71,57.14,7.14,7.14,0,7.14,0,0,0,0,14.29,21.43,7.14,7.14,0,0,7.14,7.14,7.14,0,0,0,7.14,7.14,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,7.14,7.14,7.14,7.14,0,7.14,0,0,28.57,0,14.29,14.29,7.14,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0
24,text24.txt,1,15,99,97.69,10.08,99,15,20,66.67,26.67,0,0,0,0,0,0,0,0,0,20,0,0,6.67,0,13.33,0,0,0,13.33,0,13.33,13.33,0,0,0,0,20,6.67,0,0,0,0,0,0,0,0,0,0,6.67,0,6.67,0,6.67,0,6.67,0,0,20,6.67,0,13.33,0,0,0,13.33,0,13.33,0,13.33,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,13.33,6.67,6.67,0,0,0,0,0,0,0,0,0
25,text25.txt,1,10,99,97.69,1,25.77,10,20,70,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,10,0,0,10,0,0,0,10,0,10,0,0,0,0,0,0,30,10,10,0,10,0,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0
26,text26.txt,1,7,1,7.67,89.63,25.77,7,14.29,71.43,57.14,28.57,14.29,14.29,0,0,0,0,14.29,0,0,28.57,0,0,14.29,42.86,0,0,14.29,0,0,0,0,0,0,0,0,14.29,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.86,14.29,0,0,0,0,0,0,0,0,28.57,0
27,text27.txt,1,14,83,23.75,13.15,1,14,42.86,64.29,35.71,0,0,0,0,0,0,0,0,0,14.29,7.14,0,14.29,0,14.29,7.14,7.14,0,0,7.14,7.14,0,7.14,0,7.14,0,0,0,0,0,0,7.14,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,7.14,0,0,7.14,0,0,0,0,14.29,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0
28,text28.txt,1,23,87.57,50,9.25,25.77,23,21.74,69.57,43.48,0,0,0,0,0,0,0,0,13.04,8.7,8.7,8.7,4.35,4.35,17.39,0,0,0,4.35,0,8.7,4.35,4.35,0,0,4.35,4.35,0,0,0,0,4.35,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,13.04,0,8.7,4.35,4.35,0,8.7,8.7,0,13.04,0,4.35,8.7,4.35,0,0,0,0,0,0,0,0,0,0,0,4.35,4.35,0,0,0,0,0,0,0,0,0,0
29,text29.txt,1,18,99,86.68,58.07,98.27,6,22.22,50,27.78,0,0,0,0,0,0,0,0,11.11,16.67,0,0,0,0,5.56,0,0,0,22.22,0,5.56,5.56,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,5.56,0,0,22.22,0,16.67,5.56,0,5.56,0,0,0,0,0,0,0,0,0,0,44.44,27.78,5.56,11.11,0,0,0,0,0,0,0,0
30,text30.txt,1,11,98.22,81.84,31.94,25.77,11,36.36,72.73,36.36,0,0,0,0,0,0,0,0,0,27.27,9.09,9.09,0,0,9.09,0,0,0,18.18,9.09,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,9.09,0,18.18,0,9.09,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0
31,text31.txt,1,7,28.22,92.33,13.15,25.77,7,14.29,42.86,28.57,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0
32,text32.txt,1,24,3.55,66.17,23.51,92.4,24,16.67,87.5,62.5,16.67,12.5,0,0,4.17,0,8.33,4.17,0,8.33,16.67,8.33,8.33,4.17,20.83,0,0,0,0,0,4.17,4.17,0,0,0,0,12.5,0,0,0,0,8.33,0,0,4.17,4.17,0,8.33,4.17,4.17,0,0,0,0,0,0,0,8.33,0,4.17,0,4.17,0,0,25,0,12.5,0,8.33,4.17,8.33,0,0,8.33,0,0,0,0,0,0,0,0,8.33,4.17,4.17,0,0,0,0,0,0,0,0,0
33,text33.txt,1,32,95.4,50,88.24,25.77,32,12.5,87.5,56.25,6.25,3.12,0,0,3.12,0,0,3.12,9.38,21.88,12.5,6.25,0,3.12,21.88,3.12,0,3.12,0,3.12,0,0,0,0,0,0,3.12,0,0,0,0,3.12,0,0,0,0,0,3.12,3.12,0,0,3.12,0,0,0,0,0,9.38,0,6.25,3.12,0,0,0,15.62,6.25,25,9.38,9.38,6.25,3.12,0,0,0,0,0,0,0,0,0,0,0,9.38,3.12,0,0,0,0,0,0,0,0,6.25,0
34,text34.txt,1,16,37.39,96.95,1,1,16,25,93.75,37.5,12.5,12.5,0,12.5,0,0,0,0,6.25,6.25,6.25,6.25,6.25,6.25,6.25,0,0,0,6.25,6.25,6.25,0,6.25,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,12.5,0,6.25,0,0,6.25,37.5,0,0,37.5,0,0,0,0,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0
35,text35.txt,1,11,99,81.84,2.4,25.77,11,9.09,54.55,27.27,0,0,0,0,0,0,0,0,9.09,18.18,0,0,0,0,9.09,0,0,0,9.09,9.09,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0
36,text36.txt,1,16,54.96,99,1,25.77,16,25,81.25,56.25,25,18.75,0,12.5,0,0,6.25,6.25,12.5,6.25,12.5,0,0,0,18.75,0,0,0,0,0,0,0,0,0,0,0,18.75,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.25,12.5,6.25,18.75,0,0,0,18.75,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0
37,text37.txt,1,19,21.43,29.92,81.22,25.77,19,15.79,84.21,57.89,10.53,0,0,0,0,0,0,10.53,5.26,10.53,15.79,10.53,10.53,0,15.79,0,0,0,10.53,10.53,0,0,0,0,0,0,0,0,0,0,0,21.05,0,10.53,0,5.26,5.26,5.26,0,0,0,0,0,0,0,0,0,5.26,0,5.26,0,0,0,10.53,10.53,0,21.05,0,10.53,10.53,0,0,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0
38,text38.txt,1,35,98.08,92.33,5.55,78.19,11.67,28.57,80,37.14,8.57,5.71,0,2.86,2.86,0,0,2.86,14.29,8.57,5.71,0,0,0,5.71,11.43,0,0,8.57,5.71,2.86,2.86,0,0,0,0,8.57,0,0,0,0,2.86,0,0,0,0,2.86,0,0,0,0,0,0,0,0,0,0,8.57,5.71,0,0,0,2.86,0,5.71,0,11.43,0,5.71,5.71,11.43,0,0,0,0,0,2.86,0,2.86,0,0,0,17.14,11.43,2.86,0,0,0,0,0,0,2.86,0,0
39,text39.txt,1,22,99,67.52,31.94,1,22,36.36,86.36,45.45,0,0,0,0,0,0,0,0,18.18,18.18,4.55,0,4.55,0,4.55,0,0,0,0,0,4.55,0,4.55,0,4.55,0,4.55,0,0,0,0,4.55,0,4.55,0,0,0,0,0,0,0,0,4.55,0,4.55,0,0,9.09,0,0,4.55,0,4.55,0,0,4.55,18.18,0,13.64,4.55,4.55,0,0,0,0,0,0,0,0,0,0,0,18.18,4.55,4.55,0,0,0,0,9.09,0,0,0,0
40,text40.txt,1,22,99,96.52,2.4,25.77,7.33,18.18,72.73,36.36,9.09,9.09,0,9.09,0,0,0,0,9.09,18.18,4.55,0,0,0,4.55,0,0,0,18.18,9.09,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.36,9.09,0,18.18,9.09,0,13.64,0,0,9.09,0,9.09,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,27.27,13.64,4.55,0,0,0,0,0,0,0,0,9.09
41,text41.txt,1,19,86.18,85.38,19.27,97.58,19,26.32,73.68,26.32,5.26,0,0,0,0,0,0,5.26,5.26,5.26,10.53,0,0,0,26.32,0,0,0,0,5.26,5.26,5.26,0,0,0,0,10.53,0,0,0,0,15.79,5.26,5.26,0,5.26,0,0,5.26,0,5.26,0,0,0,0,0,0,10.53,0,0,10.53,0,0,5.26,10.53,5.26,10.53,0,10.53,0,5.26,0,0,0,0,0,0,0,0,0,0,0,26.32,26.32,0,0,0,0,0,0,0,0,0,0
42,text42.txt,1,16,99,89.42,1,1,16,18.75,56.25,25,0,0,0,0,0,0,0,0,6.25,18.75,0,0,0,0,6.25,0,0,0,12.5,0,12.5,0,12.5,0,6.25,0,12.5,0,0,0,0,0,0,0,0,0,0,0,6.25,0,6.25,0,6.25,6.25,0,0,0,6.25,0,0,0,0,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0
43,text43.txt,1,16,99,73.4,1,1,8,37.5,62.5,31.25,0,0,0,0,0,0,0,0,12.5,12.5,6.25,0,0,0,6.25,0,0,0,0,0,6.25,0,6.25,0,0,6.25,6.25,0,0,0,0,6.25,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,12.5,0,6.25,12.5,0,6.25,0,6.25,0,0,0,0,0,18.75,0,0,6.25,0,0,0,0,0,0,0,0,12.5,6.25,6.25,0,0,0,0,0,0,0,0,0
44,text44.txt,1,23,99,80.77,2.02,25.77,11.5,26.09,60.87,21.74,0,0,0,0,0,0,0,0,8.7,13.04,0,0,0,0,4.35,4.35,4.35,0,0,0,0,0,0,0,0,0,8.7,0,0,4.35,0,0,0,0,0,0,0,0,4.35,0,4.35,0,8.7,4.35,4.35,8.7,0,4.35,0,0,4.35,0,0,0,4.35,0,8.7,0,4.35,4.35,13.04,0,0,4.35,0,0,0,0,0,0,0,0,8.7,8.7,0,0,0,0,0,0,0,0,0,0
45,text45.txt,1,24,26.8,20.24,48.89,1,24,29.17,91.67,50,8.33,4.17,0,4.17,0,0,0,4.17,8.33,4.17,12.5,4.17,8.33,8.33,25,0,0,4.17,0,0,16.67,4.17,12.5,4.17,4.17,0,12.5,0,0,0,4.17,29.17,0,12.5,0,0,0,16.67,0,0,0,0,0,0,0,0,0,25,4.17,0,12.5,0,8.33,4.17,16.67,4.17,4.17,0,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,33.33,4.17,0,0,0,0,0,4.17,8.33,16.67,0,0
46,text46.txt,1,13,64.27,50,17.46,25.77,6.5,53.85,61.54,15.38,0,0,0,0,0,0,0,0,0,0,15.38,0,0,0,15.38,0,0,0,15.38,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,15.38,0,0,15.38,15.38,0,0,0,0,0,0,0,0,0,0,0,23.08,15.38,0,0,0,0,0,7.69,0,0,0,0
47,text47.txt,1,15,17.96,74.76,1,25.77,15,33.33,73.33,46.67,6.67,6.67,0,0,0,0,6.67,0,0,6.67,13.33,13.33,6.67,0,13.33,0,0,0,0,6.67,0,0,0,0,0,0,13.33,0,0,0,0,13.33,0,0,6.67,6.67,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,6.67,0,0,0,0,0,0,6.67,6.67,0,0,0,0,0,0,0,0,33.33,20,6.67,0,0,0,0,6.67,0,0,0,0
48,text48.txt,1,15,69.57,9.13,1,25.77,7.5,33.33,60,26.67,6.67,6.67,0,0,0,6.67,0,0,0,6.67,0,0,0,13.33,6.67,0,0,0,6.67,6.67,0,0,0,0,0,0,6.67,0,0,0,6.67,20,6.67,0,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,13.33,0,0,6.67,6.67,0,6.67,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,13.33,13.33,0,0,0,0,0,0,0,0,0,0
49,text49.txt,1,21,67.14,68.29,2.82,95.81,10.5,28.57,66.67,42.86,14.29,0,0,0,0,0,0,14.29,4.76,9.52,4.76,4.76,4.76,0,9.52,0,0,0,0,0,4.76,4.76,0,0,0,0,4.76,0,0,0,0,9.52,0,4.76,0,4.76,0,0,0,0,0,0,4.76,0,4.76,0,0,9.52,0,0,9.52,0,0,9.52,0,0,9.52,4.76,4.76,0,0,0,0,4.76,0,0,0,0,0,0,0,0,19.05,9.52,0,0,0,0,0,0,0,0,9.52,0
50,text50.txt,1,12,80.75,50,1,25.77,12,41.67,25,25,8.33,0,0,0,0,0,0,8.33,0,8.33,8.33,0,0,0,8.33,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,8.33,0,0,0,0,0,8.33,0,0,0,0
51,text51.txt,1,21,98.33,82.96,1,25.77,21,38.1,71.43,38.1,4.76,0,0,0,0,0,0,4.76,14.29,9.52,9.52,0,0,0,19.05,0,0,0,0,0,0,0,0,0,0,0,9.52,0,0,0,0,4.76,0,0,4.76,0,0,0,4.76,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,4.76,9.52,0,4.76,0,4.76,0,14.29,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,text52.txt,1,10,98.46,50,43.37,25.77,10,30,60,30,10,0,0,0,0,0,0,10,10,10,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,20,0,20,0,0,0,0,10,0,0,0,0,0,0,0,0,20,10,10,0,0,0,0,0,0,0,0,0
53,text53.txt,1,16,99,96.95,1,25.77,16,25,68.75,43.75,6.25,0,0,0,0,0,0,6.25,18.75,12.5,6.25,0,0,0,12.5,0,0,6.25,0,0,0,0,0,0,0,0,18.75,0,0,0,0,0,0,0,0,0,0,0,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,6.25,0,6.25,0,0,0,12.5,6.25,0,0,0,0,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0
